Etunimi;Lukumäärä;;;
Aurelia;1 310;;;
Lilia;1 306;;;
Vanamo;1 303;;;
Marja-Riitta;1 299;;;
Agneta;1 296;;;
Laina;1 295;;;
Fredrika;1 291;;;
Magdalena;1 283;;;
Beatrice;1 281;;;
Hanna-Leena;1 277;;;
Juuli;1 274;;;
Lina;1 273;;;
Terhikki;1 259;;;
Hanna-Mari;1 252;;;
Valentina;1 251;;;
Adeliina;1 248;;;
Henrika;1 248;;;
Barbro;1 229;;;
Madeleine;1 222;;;
Aamu;1 220;;;
Mathilda;1 220;;;
Malin;1 218;;;
Janica;1 216;;;
Anne-Maria;1 214;;;
Berit;1 214;;;
Svetlana;1 209;;;
Anna-Leena;1 205;;;
Ann-Mari;1 197;;;
Elea;1 192;;;
Tina;1 187;;;
Kirsikka;1 180;;;
Siviä;1 180;;;
Ann;1 171;;;
Siv;1 168;;;
Alissa;1 165;;;
Milena;1 165;;;
Rakel;1 165;;;
Sarah;1 163;;;
Valma;1 163;;;
Auroora;1 161;;;
Sohvi;1 160;;;
Serafiina;1 153;;;
Ebba;1 150;;;
Felicia;1 147;;;
Caroline;1 145;;;
Vellamo;1 141;;;
Peppiina;1 134;;;
Hely;1 128;;;
Liisi;1 123;;;
Raila;1 123;;;
Mailis;1 122;;;
Miranda;1 114;;;
Kira;1 111;;;
Mariella;1 109;;;
Silvia;1 109;;;
Kaarin;1 108;;;
Sarita;1 106;;;
Anne-Marie;1 103;;;
Nanna;1 101;;;
Tinja;1 099;;;
Mohamed;1 095;;;
Viena;1 083;;;
Milka;1 080;;;
Marjo-Riitta;1 069;;;
Meea;1 068;;;
Michaela;1 068;;;
Paulina;1 066;;;
Riia;1 064;;;
Maj-Britt;1 057;;;
Natalie;1 055;;;
Lila;1 054;;;
Tatiana;1 053;;;
Mimmi;1 046;;;
Beata;1 044;;;
Sabina;1 044;;;
Virva;1 041;;;
Tessa;1 031;;;
Pirkko-Liisa;1 028;;;
Ellinoora;1 024;;;
Janni;1 023;;;
Sophie;1 020;;;
Bea;1 018;;;
Sofi;1 015;;;
Leona;1 014;;;
Miriam;1 014;;;
Verna;1 012;;;
Malla;1 011;;;
Minka;1 000;;;
Ansa;988;;;
Sanna-Mari;984;;;
Elna;979;;;
Edit;978;;;
Signe;972;;;
Unna;971;;;
Ines;970;;;
Ruut;970;;;
Nicole;969;;;
Isa;968;;;
Annamari;964;;;
Teresia;962;;;
Ruth;959;;;
Nadja;953;;;
Bertta;952;;;
Adessa;949;;;
Marlene;940;;;
Veronika;938;;;
Vilhelmina;936;;;
Emily;934;;;
Nuppu;928;;;
Sophia;927;;;
Åsa;927;;;
Maya;926;;;
Maija-Leena;924;;;
Claudia;919;;;
Juliaana;918;;;
Maarika;916;;;
Julianna;911;;;
Annu;907;;;
Gun;905;;;
Kerttuli;903;;;
Jennifer;897;;;
Nelly;896;;;
Adelia;890;;;
Alicia;889;;;
Margareetta;889;;;
Aina;886;;;
Juliana;883;;;
Emelie;882;;;
Katrina;880;;;
Hanna-Kaisa;878;;;
Ekaterina;877;;;
Gunvor;877;;;
Agnes;874;;;
Stiina;868;;;
Minni;865;;;
Pipsa;860;;;
Jessika;855;;;
Jatta;852;;;
Melinda;851;;;
Minerva;849;;;
Michelle;847;;;
Ina;844;;;
Lily;844;;;
Annastiina;841;;;
Eedit;841;;;
Adelina;837;;;
Lucia;836;;;
Angelica;830;;;
Nita;828;;;
Gunnel;827;;;
Edla;826;;;
Micaela;820;;;
Bettina;814;;;
Margareeta;811;;;
Lisbeth;810;;;
Kielo;802;;;
Tatjana;796;;;
Mai;792;;;
Selja;789;;;
Josefin;788;;;
Mary;785;;;
Annikka;784;;;
Rea;781;;;
Gabriella;780;;;
Kastehelmi;775;;;
Rose;771;;;
Tove;771;;;
Suoma;768;;;
Maj-Lis;767;;;
Nathalie;764;;;
Maj;756;;;
Andrea;751;;;
Ilmi;751;;;
Ahmed;749;;;
Kukka;749;;;
Jasmina;747;;;
Serafia;745;;;
Doris;743;;;
Lemmikki;740;;;
Kukka-Maaria;737;;;
Emilie;732;;;
Ida-Maria;732;;;
Mirkka;726;;;
Josefine;725;;;
Merita;723;;;
Mariel;715;;;
Milana;715;;;
Synnöve;710;;;
Isabelle;709;;;
Jeanette;709;;;
Sigrid;709;;;
Jane;707;;;
Catharina;703;;;
Ilse;703;;;
Rosanna;703;;;
Lili;701;;;
Siri;701;;;
Britta;700;;;
Christel;700;;;
Soilikki;694;;;
Christa;686;;;
Elmiina;686;;;
Emmiina;685;;;
Hanna-Maria;684;;;
Bella;680;;;
Linn;678;;;
Eve;677;;;
Tamara;674;;;
Antonia;667;;;
Rebecka;666;;;
Rosita;664;;;
Dagmar;661;;;
Marju;658;;;
Tara;658;;;
Eeva-Maria;653;;;
My;651;;;
Therese;649;;;
Lara;648;;;
Angelina;647;;;
Viveka;646;;;
Ann-Marie;644;;;
Marian;640;;;
Noomi;636;;;
Ottilia;634;;;
Fiia;633;;;
Ria;632;;;
Sinna;632;;;
Larissa;631;;;
Siina;631;;;
Eivor;624;;;
Ali;623;;;
Jelena;621;;;
Anna-Sofia;620;;;
Cristina;620;;;
Sarianna;618;;;
Terese;618;;;
Saini;616;;;
Pirjo-Riitta;615;;;
Ramona;613;;;
Anne-Maj;611;;;
Jenniina;605;;;
Silva;604;;;
Galina;602;;;
Catarina;601;;;
Jannika;600;;;
Impi;594;;;
Anne-Maarit;582;;;
Mariana;582;;;
Iida-Maria;579;;;
Evelin;575;;;
Eriika;574;;;
Estelle;574;;;
Serafina;574;;;
Usva;574;;;
Karina;563;;;
Briitta;562;;;
Ritva-Liisa;560;;;
Marit;559;;;
Susann;559;;;
Sade;558;;;
Eden;555;;;
Yasmin;555;;;
Lenita;554;;;
Lidia;549;;;
Magdaleena;549;;;
Angela;548;;;
Hulda;546;;;
Henna-Riikka;544;;;
Amina;542;;;
Augusta;542;;;
Clara;538;;;
Valeria;537;;;
Ruusu;536;;;
Viveca;536;;;
Liinu;534;;;
Sirja;534;;;
Louna;533;;;
Ilta;532;;;
Pirjo-Liisa;531;;;
Annemari;530;;;
Kristine;528;;;
Ireene;524;;;
Evelyn;523;;;
Kaino;519;;;
Eija-Liisa;518;;;
Ulpu;516;;;
Tua;510;;;
Mariam;508;;;
Ulriikka;507;;;
Marikki;505;;;
Svea;505;;;
Hellä;504;;;
Pernilla;503;;;
Sani;500;;;
Margaret;497;;;
May;497;;;
Fatima;496;;;
Alise;492;;;
Ellinor;491;;;
Marissa;491;;;
Inga-Lill;488;;;
Soila;488;;;
Ann-Christine;487;;;
Jadessa;485;;;
Pamela;485;;;
Naomi;483;;;
Sanna-Kaisa;483;;;
Karla;481;;;
Meiju;479;;;
Eeva-Maija;478;;;
Maja;478;;;
Sanna-Maria;474;;;
Aisha;471;;;
Kreetta;469;;;
Carmen;468;;;
Nana;468;;;
Evelia;467;;;
Teea;467;;;
Mari-Anne;465;;;
Cassandra;463;;;
Hanneli;462;;;
Bianca;461;;;
Lisbet;460;;;
Aleksiina;458;;;
Lumina;457;;;
Mandi;456;;;
Märta;456;;;
Roosa-Maria;454;;;
Assi;453;;;
Gabriela;450;;;
Margarita;450;;;
Moa;449;;;
Rianna;447;;;
Samira;446;;;
Mariaana;443;;;
Abdi;442;;;
Annica;442;;;
Hannamari;442;;;
Odessa;438;;;
Aallotar;437;;;
Angelika;437;;;
Hannah;437;;;
Petriina;435;;;
Esther;433;;;
Catherine;426;;;
Margita;425;;;
Vivi;425;;;
Alexsandra;424;;;
Sienna;422;;;
Annie;421;;;
Kamilla;421;;;
Ann-Christin;419;;;
Lia;417;;;
Iitu;416;;;
Tuulevi;415;;;
Else-Maj;412;;;
Leeni;412;;;
Ruusa;412;;;
Filippa;409;;;
Freja;409;;;
Lumikki;408;;;
Maili;408;;;
Mariela;408;;;
Marjanne;408;;;
Riika;407;;;
Klaudia;404;;;
Marica;401;;;
Meri-Tuuli;401;;;
Theresa;401;;;
Alexia;400;;;
Katrin;400;;;
Grace;399;;;
Gun-Britt;399;;;
Amira;398;;;
Nenna;395;;;
Britt-Marie;394;;;
Ingegärd;394;;;
Hassan;393;;;
Katharina;393;;;
Sabrina;393;;;
Hedvig;392;;;
Kreeta;390;;;
Kirsi-Maria;389;;;
Hanna-Maija;388;;;
Kristin;388;;;
Mariann;388;;;
Josephine;387;;;
Melisa;386;;;
Henriika;385;;;
Ninja;384;;;
Alessia;383;;;
Daria;380;;;
Merituuli;379;;;
Miira;378;;;
Sarianne;378;;;
Britt;377;;;
Carla;377;;;
Lauriina;377;;;
Tiia-Maria;377;;;
Ann-Sofi;376;;;
Jennika;376;;;
Sonia;375;;;
Sofianna;373;;;
Jarna;372;;;
Maryam;372;;;
Anna-Lisa;370;;;
Desiree;370;;;
Hellen;370;;;
Lilly;370;;;
Liia;369;;;
Vaula;369;;;
Zahra;367;;;
Evita;366;;;
Barbara;362;;;
Mirja-Liisa;362;;;
Ulriika;362;;;
Annabella;360;;;
Maj-Len;359;;;
Adina;358;;;
Klara;358;;;
Maia;358;;;
Armiida;357;;;
Adalmina;356;;;
Minna-Liisa;355;;;
Nadia;355;;;
Selena;355;;;
Celina;354;;;
Lyyti;353;;;
Jessi;352;;;
Eleanor;351;;;
Hilppa;351;;;
Leena-Maija;351;;;
Thea;351;;;
Adéle;350;;;
Illusia;349;;;
Liana;348;;;
Auri;345;;;
Gunhild;344;;;
Raija-Liisa;344;;;
Susa;344;;;
Ylva;344;;;
Erna;343;;;
Ainikki;342;;;
Anri;341;;;
Kajsa;341;;;
Jenina;339;;;
Miila;339;;;
Rosa-Maria;339;;;
Sanja;335;;;
Ann-Sofie;333;;;
Lotte;331;;;
Ethel;330;;;
Mielikki;330;;;
Evi;329;;;
Gretel;328;;;
Maikki;328;;;
Myy;328;;;
Raita;328;;;
Salma;328;;;
Gerd;326;;;
Leonora;326;;;
Emelia;325;;;
Suvi-Tuuli;325;;;
Abdullahi;324;;;
Eva-Maria;324;;;
Nette;324;;;
Minnea;323;;;
Karelia;322;;;
Denise;321;;;
Eriikka;318;;;
Natasha;318;;;
Malviina;317;;;
Ann-Charlotte;316;;;
Auni;316;;;
Klaara;316;;;
Marisa;316;;;
Rut;314;;;
Henriette;313;;;
Aniitta;312;;;
Alviina;311;;;
Elmi;311;;;
Ksenia;311;;;
Valborg;311;;;
Anna-Lena;310;;;
Aino-Maria;309;;;
Eeva-Leena;308;;;
Petronella;308;;;
Kustaava;306;;;
Anna-Kaarina;305;;;
Eeva-Kaisa;305;;;
Freya;305;;;
Margetta;303;;;
Isabell;301;;;
Kim;301;;;
Arja-Liisa;300;;;
Caroliina;300;;;
Ngoc;300;;;
Janniina;299;;;
Martha;297;;;
Molly;297;;;
Sissi;297;;;
Eeva-Riitta;296;;;
Pauline;296;;;
Pieta;296;;;
Annamaria;295;;;
Nova;295;;;
Adriana;293;;;
Dina;293;;;
Jannica;293;;;
Theresia;293;;;
Hillervo;292;;;
Salla-Mari;292;;;
Janet;291;;;
Tiiu;291;;;
Lillemor;290;;;
Maija-Riitta;290;;;
Marke;290;;;
Hanna-Riikka;289;;;
Ilma;289;;;
Jennie;289;;;
Judith;289;;;
Marie-Louise;289;;;
Jolanda;288;;;
Suvi-Tuulia;288;;;
Telma;287;;;
Annaliisa;286;;;
Elli-Noora;286;;;
Hanna-Liisa;286;;;
Julie;286;;;
Simone;286;;;
Ragnhild;285;;;
Disa;284;;;
Maini;284;;;
Marietta;284;;;
Mariina;284;;;
Anastacia;283;;;
Anna-Riikka;282;;;
Seidi;282;;;
Hanni;281;;;
Stephanie;281;;;
Estella;278;;;
Alexa;277;;;
Armida;277;;;
Rosaliina;277;;;
Desiré;276;;;
Göta;276;;;
Marion;276;;;
Rose-Marie;276;;;
Tilde;276;;;
Belinda;275;;;
Gertrud;275;;;
Clarissa;274;;;
Hildegard;274;;;
Alessandra;273;;;
Anna-Riitta;273;;;
Esmeralda;273;;;
Ilmatar;273;;;
Melanie;272;;;
Ariel;271;;;
Arja-Leena;270;;;
Vadelma;270;;;
Juliet;269;;;
Kaija-Leena;268;;;
Meimi;268;;;
Arla;267;;;
Jana;267;;;
Ninna;267;;;
Ann-Kristin;264;;;
Larisa;264;;;
Salome;262;;;
Fia;261;;;
Karola;261;;;
Gunborg;260;;;
Sirke;260;;;
Eeva-Kaarina;259;;;
Lemmitty;259;;;
Annakaisa;257;;;
Tekla;257;;;
Ulrica;257;;;
Halla;256;;;
Nancy;256;;;
Li;255;;;
Liv;254;;;
Thuy;254;;;
Polina;252;;;
Mohammed;251;;;
Ana;250;;;
Leni;250;;;
Malena;250;;;
Aino-Maija;249;;;
Emmy;249;;;
Tinka;249;;;
Elizaveta;248;;;
Manta;248;;;
Laimi;247;;;
Marta;247;;;
Noona;247;;;
Sirpa-Liisa;247;;;
Karen;246;;;
Minna-Maria;246;;;
Hjördis;245;;;
Ingela;245;;;
Solja;245;;;
Viia;245;;;
Amy;242;;;
Ariana;242;;;
Desirée;242;;;
Viliina;242;;;
Hussein;241;;;
Rosalia;240;;;
Antonina;239;;;
Iia;239;;;
Nadezda;239;;;
Reea;239;;;
Sally;239;;;
Sannamari;239;;;
Pirjetta;238;;;
Katerina;237;;;
Pia-Maria;237;;;
Severiina;237;;;
Eliana;236;;;
Joy;236;;;
Liliana;236;;;
Annamaija;235;;;
Ann-Louise;235;;;
Mei;235;;;
Bodil;234;;;
Helle;234;;;
Liudmila;234;;;
Neelia;234;;;
Seelia;234;;;
Ani;232;;;
Margot;232;;;
Mina;232;;;
Gunnevi;231;;;
Riitta-Leena;231;;;
Sanna-Maija;231;;;
Vivia;231;;;
Merja-Liisa;230;;;
Mimi;230;;;
Anitra;229;;;
Kristel;229;;;
Rachel;229;;;
Kaija-Liisa;228;;;
Daniella;227;;;
Meri-Tuulia;227;;;
Nicola;227;;;
Valdine;227;;;
Christin;226;;;
Hellikki;226;;;
Mercedes;226;;;
Venny;226;;;
Yasmine;226;;;
Annabel;225;;;
Bernice;225;;;
Bettiina;225;;;
Piitu;225;;;
Anh;224;;;
Ann-Britt;224;;;
Heidi-Maria;224;;;
Ulla-Riitta;224;;;
Adolfiina;223;;;
Alla;223;;;
Eedla;223;;;
Malva;223;;;
Tindra;223;;;
Cindy;222;;;
Elsie;221;;;
Omar;221;;;
Thanh;221;;;
Thu;221;;;
Gudrun;219;;;
Ingalill;219;;;
Marija;218;;;
Milma;218;;;
Pilvikki;218;;;
Ibrahim;216;;;
Serena;215;;;
Tia-Maria;215;;;
Anne-Maija;213;;;
Carin;213;;;
Vivan;213;;;
Ella-Maria;212;;;
Ellie;212;;;
Jasmi;212;;;
Suvituuli;212;;;
Tarleena;212;;;
Sina;211;;;
Etel;209;;;
Judit;209;;;
Juliette;209;;;
Phuong;209;;;
Sallamari;208;;;
Satu-Maarit;208;;;
Kiti;206;;;
Saskia;206;;;
Seliina;206;;;
Sanna-Leena;205;;;
Adela;204;;;
Elissa;204;;;
Mahamed;204;;;
Santra;204;;;
Anni-Maria;203;;;
Celine;203;;;
Nellie;203;;;
Minna-Mari;201;;;
Eija-Riitta;200;;;
Nia;200;;;
Tiitu;200;;;
Crista;199;;;
Desire;199;;;
Katinka;199;;;
Nicolina;199;;;
Tuisku;199;;;
Milaja;198;;;
Thelma;198;;;
Jekaterina;197;;;
Tanya;196;;;
Annaleena;195;;;
Cornelia;195;;;
Gurli;195;;;
Marjaleena;195;;;
Vilina;195;;;
Amélie;193;;;
Maria-Liisa;193;;;
Ida-Sofia;192;;;
Ruska;192;;;
Sabine;192;;;
Adalia;191;;;
Betty;191;;;
Hille;191;;;
Lola;191;;;
Ulla-Britt;191;;;
Yulia;191;;;
